rank_type,rank,target_level,market,instrument,session_date,signal,original_signal,direction,signal_time,entry_time,pine_entry_price,entry_price,stop_price,target_price,tp1,tp2,tp3,tp4,tp5,atr,risk_per_unit_reference,ema_fast,ema_slow,vwap,rsi,macd,macd_signal,adx,volume,volume_sma,bull_score_pct,bear_score_pct,bias,quantity,notional,position_risk_amount,max_target_hit,holding_candles,exit_time,exit_price,exit_reason,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple
BEST,1,4,commodities,CLF,2026-04-07,INVERSE_BUY,BUY,SHORT,2026-04-07T14:55:00-04:00,2026-04-07T15:00:00-04:00,115.120003,115.099998,116.035433,111.458282,114.204573,113.289142,112.373712,111.458282,110.542852,0.610287,0.91543,114.285081,114.232307,115.065125,59.6118,-0.099177,-0.327968,26.6474,1964.0,3382.7,85.71,0.0,STRONG BULL,868,99906.8,811.96,3,5,2026-04-07T15:20:00-04:00,112.440002,OPPOSITE_SIGNAL,2308.88,0.0,2308.88,2.311,2.8436
BEST,2,4,commodities,NGF,2026-04-13,INVERSE_BUY,BUY,SHORT,2026-04-13T09:15:00-04:00,2026-04-13T09:20:00-04:00,2.707,2.708,2.722323,2.64571,2.691677,2.676355,2.661032,2.64571,2.630387,0.010215,0.015323,2.656143,2.651452,2.703667,79.3713,0.002064,-0.002516,21.6926,1073.0,1540.3,71.43,0.0,STRONG BULL,36927,99998.31,528.89,3,21,2026-04-13T11:00:00-04:00,2.652,OPPOSITE_SIGNAL,2067.91,0.0,2067.91,2.0679,3.9099
BEST,3,4,equity,LT_NS,2026-04-13,INVERSE_SELL,SELL,LONG,2026-04-13T09:15:00+05:30,2026-04-13T09:20:00+05:30,3850.800049,3849.0,3826.802817,3946.788976,3874.797281,3898.794512,3922.791744,3946.788976,3970.786207,15.998154,23.997232,3935.319963,3943.795843,3847.700033,15.0746,-5.491912,0.51824,22.7728,0.0,53920.4,14.29,57.14,STRONG BEAR,25,96225.0,554.93,3,25,2026-04-13T11:20:00+05:30,3929.399902,OPPOSITE_SIGNAL,2010.0,0.0,2010.0,2.0889,3.6221
BEST,4,4,commodities,CLF,2026-04-13,INVERSE_BUY,BUY,SHORT,2026-04-13T09:15:00-04:00,2026-04-13T09:20:00-04:00,103.589996,103.580002,105.037753,97.798968,102.142239,100.694482,99.246725,97.798968,96.351211,0.965171,1.447757,97.596425,97.314625,103.589999,82.8133,0.005542,-0.461402,41.2565,1431.0,2922.65,71.43,14.29,STRONG BULL,685,70952.3,998.56,2,40,2026-04-13T12:35:00-04:00,100.959999,OPPOSITE_SIGNAL,1794.7,0.0,1794.7,2.5294,1.7973
BEST,5,4,commodities,NGF,2026-04-23,INVERSE_BUY,BUY,SHORT,2026-04-23T09:15:00-04:00,2026-04-23T09:20:00-04:00,2.787,2.786,2.801774,2.727903,2.772226,2.757451,2.742677,2.727903,2.713129,0.009849,0.014774,2.728563,2.723803,2.785667,82.6396,0.001585,-0.003832,36.3952,2282.0,680.2,100.0,0.0,STRONG BULL,35893,99997.9,566.18,3,19,2026-04-23T10:50:00-04:00,2.743,OPPOSITE_SIGNAL,1543.4,0.0,1543.4,1.5434,2.726
BEST,6,4,commodities,SIF,2026-04-07,INVERSE_SELL,SELL,LONG,2026-04-07T14:55:00-04:00,2026-04-07T15:00:00-04:00,71.489998,71.514999,71.213866,72.594525,71.76613,72.042261,72.318393,72.594525,72.870657,0.184088,0.276132,71.932973,71.99113,71.326672,33.2737,0.005515,0.103127,25.5042,295.0,189.6,14.29,85.71,STRONG BEAR,1398,99977.97,420.98,4,5,2026-04-07T15:20:00-04:00,72.594525,TP4,1509.18,0.0,1509.18,1.5095,3.5849
BEST,7,4,commodities,CLF,2026-03-30,INVERSE_SELL,SELL,LONG,2026-03-30T11:40:00-04:00,2026-03-30T11:45:00-04:00,101.529999,101.540001,100.872264,104.160939,102.187734,102.845469,103.503204,104.160939,104.818674,0.43849,0.657735,102.075535,102.096368,102.124457,42.1444,0.021893,0.084693,13.0405,2423.0,2776.1,0.0,71.43,STRONG BEAR,984,99915.36,657.05,2,4,2026-03-30T12:00:00-04:00,102.959999,OPPOSITE_SIGNAL,1397.28,0.0,1397.28,1.3985,2.1266
BEST,8,4,commodities,NGF,2026-03-31,INVERSE_BUY,BUY,SHORT,2026-03-31T12:30:00-04:00,2026-03-31T12:35:00-04:00,2.93,2.929,2.946816,2.862736,2.913184,2.896368,2.879552,2.862736,2.845919,0.011211,0.016816,2.915309,2.914003,2.929735,60.8405,0.000123,-0.002253,24.6318,1204.0,1103.4,85.71,0.0,STRONG BULL,34141,99998.99,608.27,3,3,2026-03-31T12:45:00-04:00,2.891,OPPOSITE_SIGNAL,1297.36,0.0,1297.36,1.2974,2.1329
BEST,9,4,commodities,NGF,2026-04-17,INVERSE_SELL,SELL,LONG,2026-04-17T09:25:00-04:00,2026-04-17T09:30:00-04:00,2.633,2.633,2.620835,2.681661,2.645165,2.65733,2.669496,2.681661,2.693826,0.00811,0.012165,2.647953,2.649359,2.635075,36.982,0.000536,0.003698,28.7215,2639.0,934.3,14.29,85.71,STRONG BEAR,37979,99998.7,462.02,3,5,2026-04-17T09:50:00-04:00,2.666,OPPOSITE_SIGNAL,1253.3,0.0,1253.3,1.2533,2.7127
BEST,10,4,commodities,CLF,2026-04-10,INVERSE_SELL,SELL,LONG,2026-04-10T10:20:00-04:00,2026-04-10T10:25:00-04:00,97.57,97.57,96.823244,100.557023,98.316755,99.063511,99.810267,100.557023,101.303778,0.497837,0.746756,98.060367,98.110425,98.223927,41.8138,0.018069,0.132344,16.6204,1474.0,1576.1,0.0,71.43,STRONG BEAR,1024,99911.68,764.68,1,6,2026-04-10T10:50:00-04:00,98.760002,OPPOSITE_SIGNAL,1218.56,0.0,1218.56,1.2196,1.5936
WORST,1,4,commodities,CLF,2026-04-22,INVERSE_BUY,BUY,SHORT,2026-04-22T09:20:00-04:00,2026-04-22T09:25:00-04:00,91.110001,91.089996,92.328677,86.235296,89.891324,88.672648,87.453972,86.235296,85.01662,0.812451,1.218676,89.607165,89.5184,91.130642,65.4128,-0.004413,-0.180805,30.6848,4283.0,3932.3,85.71,14.29,STRONG BULL,807,73509.63,999.62,0,18,2026-04-22T10:50:00-04:00,92.328677,STOP_LOSS,-999.62,0.0,-999.62,-1.3598,-1.0
