trade_id,report_date,entry_date,exit_date,signal_timestamp,entry_timestamp,direction,entry_price_points,entry_ma,exit_candle_timestamp,exit_timestamp,exit_price_points,exit_reason,exit_ma,points_pnl,quantity_btc,entry_notional_usd,exit_notional_usd,gross_pnl_usd,trade_return_pct,cumulative_pnl_usd,equity_after_trade,holding_days,remarks
T00001,2025-05-15,2025-05-15,2025-05-15,2025-05-15 00:00:00+00:00,2025-05-15 01:00:00+00:00,LONG,103831.66,103626.17,2025-05-15 01:00:00+00:00,2025-05-15 02:00:00+00:00,103626.17,stop_loss_ma_touch,103626.17,-205.49,9.63097383,1000000.00,998020.93,-1979.07,-0.1979,-1979.07,998020.93,0,
T00002,2025-05-15,2025-05-15,2025-05-15,2025-05-15 01:00:00+00:00,2025-05-15 02:00:00+00:00,SHORT,103058.12,103598.22,2025-05-15 15:00:00+00:00,2025-05-15 16:00:00+00:00,102859.03,stop_loss_ma_touch,102859.03,199.09,9.70326259,1000000.00,998068.18,1931.82,0.1932,-47.25,999952.75,0,
T00003,2025-05-15,2025-05-15,2025-05-15,2025-05-15 15:00:00+00:00,2025-05-15 16:00:00+00:00,LONG,103286.86,102848.61,2025-05-15 18:00:00+00:00,2025-05-15 19:00:00+00:00,102898.37,stop_loss_ma_touch,102898.37,-388.49,9.68177365,1000000.00,996238.73,-3761.27,-0.3761,-3808.52,996191.48,0,
T00004,2025-05-15,2025-05-15,2025-05-15,2025-05-15 18:00:00+00:00,2025-05-15 19:00:00+00:00,SHORT,102712.37,102863.82,2025-05-15 19:00:00+00:00,2025-05-15 20:00:00+00:00,102863.82,stop_loss_ma_touch,102863.82,-151.45,9.73592567,1000000.00,1001474.51,-1474.51,-0.1475,-5283.02,994716.98,0,
T00005,2025-05-15,2025-05-15,2025-05-15,2025-05-15 19:00:00+00:00,2025-05-15 20:00:00+00:00,LONG,103179.60,102858.72,2025-05-15 21:00:00+00:00,2025-05-15 22:00:00+00:00,102853.58,stop_loss_ma_touch,102853.58,-326.02,9.69183831,1000000.00,996840.27,-3159.73,-0.3160,-8442.76,991557.24,0,
T00006,2025-05-16,2025-05-15,2025-05-16,2025-05-15 21:00:00+00:00,2025-05-15 22:00:00+00:00,LONG,103323.25,102839.30,2025-05-16 08:00:00+00:00,2025-05-16 09:00:00+00:00,103250.95,stop_loss_ma_touch,103250.95,-72.30,9.67836378,1000000.00,999300.25,-699.75,-0.0700,-9142.50,990857.50,1,
T00007,2025-05-16,2025-05-16,2025-05-16,2025-05-16 08:00:00+00:00,2025-05-16 09:00:00+00:00,LONG,103427.69,103298.44,2025-05-16 13:00:00+00:00,2025-05-16 14:00:00+00:00,103559.07,stop_loss_ma_touch,103559.07,131.38,9.66859068,1000000.00,1001270.26,1270.26,0.1270,-7872.24,992127.76,0,
T00008,2025-05-16,2025-05-16,2025-05-16,2025-05-16 13:00:00+00:00,2025-05-16 14:00:00+00:00,LONG,104048.99,103637.28,2025-05-16 14:00:00+00:00,2025-05-16 15:00:00+00:00,103637.28,stop_loss_ma_touch,103637.28,-411.71,9.61085735,1000000.00,996043.11,-3956.89,-0.3957,-11829.13,988170.87,0,
T00009,2025-05-16,2025-05-16,2025-05-16,2025-05-16 14:00:00+00:00,2025-05-16 15:00:00+00:00,SHORT,103619.05,103704.80,2025-05-16 15:00:00+00:00,2025-05-16 16:00:00+00:00,103704.80,stop_loss_ma_touch,103704.80,-85.75,9.65073507,1000000.00,1000827.55,-827.55,-0.0828,-12656.68,987343.32,0,
T00010,2025-05-16,2025-05-16,2025-05-16,2025-05-16 15:00:00+00:00,2025-05-16 16:00:00+00:00,LONG,104229.40,103744.08,2025-05-16 18:00:00+00:00,2025-05-16 19:00:00+00:00,103754.00,stop_loss_ma_touch,103754.00,-475.40,9.59422198,1000000.00,995438.91,-4561.09,-0.4561,-17217.77,982782.23,0,
T00011,2025-05-16,2025-05-16,2025-05-16,2025-05-16 18:00:00+00:00,2025-05-16 19:00:00+00:00,SHORT,103721.93,103796.07,2025-05-16 19:00:00+00:00,2025-05-16 20:00:00+00:00,103796.07,stop_loss_ma_touch,103796.07,-74.14,9.64116267,1000000.00,1000714.80,-714.80,-0.0715,-17932.57,982067.43,0,
T00012,2025-05-16,2025-05-16,2025-05-16,2025-05-16 19:00:00+00:00,2025-05-16 20:00:00+00:00,LONG,104069.32,103833.14,2025-05-16 20:00:00+00:00,2025-05-16 21:00:00+00:00,103833.14,stop_loss_ma_touch,103833.14,-236.18,9.60897986,1000000.00,997730.55,-2269.45,-0.2269,-20202.02,979797.98,0,
T00013,2025-05-17,2025-05-16,2025-05-17,2025-05-16 20:00:00+00:00,2025-05-16 21:00:00+00:00,SHORT,103718.91,103844.04,2025-05-17 05:00:00+00:00,2025-05-17 06:00:00+00:00,103708.05,stop_loss_ma_touch,103708.05,10.86,9.64144340,1000000.00,999895.29,104.71,0.0105,-20097.31,979902.69,1,
T00014,2025-05-17,2025-05-17,2025-05-17,2025-05-17 05:00:00+00:00,2025-05-17 06:00:00+00:00,SHORT,103377.28,103684.83,2025-05-17 18:00:00+00:00,2025-05-17 19:00:00+00:00,103317.69,stop_loss_ma_touch,103317.69,59.59,9.67330539,1000000.00,999423.57,576.43,0.0576,-19520.88,980479.12,0,
T00015,2025-05-17,2025-05-17,2025-05-17,2025-05-17 18:00:00+00:00,2025-05-17 19:00:00+00:00,SHORT,103027.95,103288.77,2025-05-17 20:00:00+00:00,2025-05-17 21:00:00+00:00,103252.06,stop_loss_ma_touch,103252.06,-224.11,9.70610402,1000000.00,1002175.23,-2175.23,-0.2175,-21696.11,978303.89,0,
T00016,2025-05-17,2025-05-17,2025-05-17,2025-05-17 20:00:00+00:00,2025-05-17 21:00:00+00:00,LONG,103406.89,103239.06,2025-05-17 21:00:00+00:00,2025-05-17 22:00:00+00:00,103239.06,stop_loss_ma_touch,103239.06,-167.83,9.67053549,1000000.00,998376.99,-1623.01,-0.1623,-23319.12,976680.88,0,
T00017,2025-05-17,2025-05-17,2025-05-17,2025-05-17 21:00:00+00:00,2025-05-17 22:00:00+00:00,LONG,103286.46,103224.39,2025-05-17 22:00:00+00:00,2025-05-17 23:00:00+00:00,103224.39,stop_loss_ma_touch,103224.39,-62.07,9.68181115,1000000.00,999399.05,-600.95,-0.0601,-23920.07,976079.93,0,
T00018,2025-05-18,2025-05-17,2025-05-18,2025-05-17 22:00:00+00:00,2025-05-17 23:00:00+00:00,SHORT,103073.44,103204.34,2025-05-17 23:00:00+00:00,2025-05-18 00:00:00+00:00,103204.34,stop_loss_ma_touch,103204.34,-130.90,9.70182037,1000000.00,1001269.97,-1269.97,-0.1270,-25190.04,974809.96,1,
T00019,2025-05-18,2025-05-18,2025-05-18,2025-05-17 23:00:00+00:00,2025-05-18 00:00:00+00:00,SHORT,103161.07,103190.22,2025-05-18 00:00:00+00:00,2025-05-18 01:00:00+00:00,103190.22,stop_loss_ma_touch,103190.22,-29.15,9.69357918,1000000.00,1000282.57,-282.57,-0.0283,-25472.61,974527.39,0,
T00020,2025-05-18,2025-05-18,2025-05-18,2025-05-18 00:00:00+00:00,2025-05-18 01:00:00+00:00,LONG,103408.28,103191.31,2025-05-18 01:00:00+00:00,2025-05-18 02:00:00+00:00,103191.31,stop_loss_ma_touch,103191.31,-216.97,9.67040550,1000000.00,997901.81,-2098.19,-0.2098,-27570.79,972429.21,0,
