trade_id,report_date,exit_timestamp,direction,gross_pnl_usd,cumulative_pnl_usd,equity,peak_equity,drawdown_usd,drawdown_pct
T00001,2021-05-14,2021-05-14 01:30:00+00:00,SHORT,10496.23,10496.23,110496.23,110496.23,0.00,0.0000
T00002,2021-05-14,2021-05-14 08:00:00+00:00,LONG,-367.10,10129.13,110129.13,110496.23,367.10,0.3322
T00003,2021-05-14,2021-05-14 09:30:00+00:00,SHORT,-1327.86,8801.27,108801.27,110496.23,1694.96,1.5340
T00004,2021-05-14,2021-05-14 21:15:00+00:00,LONG,-2612.48,6188.79,106188.79,110496.23,4307.44,3.8983
T00005,2021-05-16,2021-05-16 06:15:00+00:00,SHORT,176.38,6365.17,106365.17,110496.23,4131.06,3.7386
T00006,2021-05-16,2021-05-16 16:15:00+00:00,LONG,-2516.73,3848.44,103848.44,110496.23,6647.79,6.0163
T00007,2021-05-17,2021-05-17 11:30:00+00:00,SHORT,6074.27,9922.71,109922.71,110496.23,573.52,0.5190
T00008,2021-05-17,2021-05-17 16:45:00+00:00,LONG,-4729.02,5193.69,105193.69,110496.23,5302.54,4.7988
T00009,2021-05-18,2021-05-18 00:45:00+00:00,SHORT,-2954.17,2239.52,102239.52,110496.23,8256.71,7.4724
T00010,2021-05-18,2021-05-18 13:00:00+00:00,LONG,-556.78,1682.74,101682.74,110496.23,8813.49,7.9763
T00011,2021-05-19,2021-05-19 20:30:00+00:00,SHORT,11021.06,12703.80,112703.80,112703.80,0.00,0.0000
T00012,2021-05-20,2021-05-20 02:00:00+00:00,LONG,-5434.22,7269.58,107269.58,112703.80,5434.22,4.8217
T00013,2021-05-20,2021-05-20 07:00:00+00:00,SHORT,-7306.15,-36.58,99963.42,112703.80,12740.38,11.3043
T00014,2021-05-20,2021-05-20 20:00:00+00:00,LONG,1195.59,1159.01,101159.01,112703.80,11544.79,10.2435
T00015,2021-05-21,2021-05-21 01:30:00+00:00,SHORT,-3381.79,-2222.78,97777.22,112703.80,14926.58,13.2441
T00016,2021-05-21,2021-05-21 07:15:00+00:00,LONG,-4020.95,-6243.73,93756.27,112703.80,18947.53,16.8118
T00017,2021-05-21,2021-05-21 13:45:00+00:00,SHORT,-3232.62,-9476.36,90523.64,112703.80,22180.16,19.6800
T00018,2021-05-21,2021-05-21 16:00:00+00:00,LONG,-10483.31,-19959.67,80040.33,112703.80,32663.47,28.9817
T00019,2021-05-22,2021-05-22 03:00:00+00:00,SHORT,-1469.11,-21428.78,78571.22,112703.80,34132.58,30.2852
